id	num
chr22:37538593-37539393	1
chr22:37568793-37570593	2
chr22:37564793-37568793	3
chr22:19970677-19970877	4
chr22:20005677-20013077	5
chr22:20013077-20013477	6
chr22:20013477-20015077	7
chr22:20079877-20081277	8
chr22:20081277-20081477	9
chr22:20081477-20081877	10
chr22:20081877-20082877	11
chr22:20082877-20083477	12
chr22:20083477-20084877	13
chr22:20084877-20085277	14
chr22:19974077-19974877	15
chr22:19970877-19974077	16
chr22:45997720-45997920	17
chr22:46112320-46116320	18
chr22:46116320-46116920	19
chr22:46116920-46119320	20
chr22:46119320-46119920	21
chr22:23539813-23547613	22
chr22:23591613-23592413	23
chr22:50625372-50625972	24
chr22:50690572-50696972	25
chr22:50625972-50626172	26
chr22:50627372-50628572	27
chr22:50628572-50628972	28
chr22:50628972-50629172	29
chr22:50626172-50627372	30
chr22:35428807-35431007	31
chr22:35575753-35591153	32
chr22:35465207-35465407	33
chr22:35465407-35467607	34
chr22:35467607-35467807	35
chr22:35467807-35468407	36
chr22:35622153-35623353	37
chr22:35623353-35627153	38
chr22:35431007-35431407	39
chr22:35431407-35434807	40
chr22:23174413-23175613	41
chr22:23279413-23281213	42
chr22:23282213-23283013	43
chr22:23281213-23282213	44
chr22:23175613-23177613	45
chr22:23177613-23178613	46
chr22:23178613-23179813	47
chr22:23179813-23180013	48
chr22:20154477-20158877	49
chr22:20282677-20283277	50
chr22:20283277-20288077	51
chr22:20158877-20159477	52
chr22:24939033-24939633	53
chr22:25039833-25049233	54
chr22:25049233-25051233	55
chr22:24934433-24939033	56
chr22:41398996-41411196	57
chr22:41513996-41524196	58
chr22:22955226-22956426	59
chr22:23126213-23127613	60
chr22:22956426-22957826	61
chr22:22957826-22959026	62
chr22:22959026-22961426	63
chr22:37309959-37319959	64
chr22:37454964-37455964	65
chr22:37456162-37456362	66
chr22:37512593-37517993	67
chr22:37517993-37518593	68
chr22:37518593-37520193	69
chr22:44698720-44700120	70
chr22:44736120-44736320	71
chr22:44736320-44737120	72
chr22:44737120-44739120	73
chr22:44739120-44740520	74
chr22:44754920-44755120	75
chr22:44755120-44755720	76
chr22:44755720-44756520	77
chr22:44756520-44756920	78
chr22:44756920-44764720	79
chr22:44783320-44784120	80
chr22:44784120-44784520	81
chr22:44784520-44784720	82
chr22:44777320-44783320	83
chr22:21573911-21589311	84
chr22:21614911-21627911	85
chr22:46367103-46368303	86
chr22:46539903-46552103	87
chr22:46408903-46409503	88
chr22:46360903-46367103	89
chr22:29197611-29202811	90
chr22:29243011-29254011	91
chr22:29202811-29203011	92
